,Dates,data,SMA30,SMA300,year,Buy_Signal,Sell_Signal,Signal_On_Dates,Updates_On_ShortTrades,Updates_On_LongTrades,Cummulative_Algo_Returns,Cummulative_Market_returns,month
8399,2013-04-18,1541.61,1560.4493333333344,1420.827633333334,2013,,,,,opened,1250.4196451101425,1357.6493948562784,4
8400,2013-04-19,1555.25,1560.8156666666678,1421.521633333334,2013,,,,,opened,1250.4196451101425,1370.5465204236004,4
8401,2013-04-22,1562.5,1561.193000000001,1422.2301000000007,2013,,,,,opened,1250.4196451101425,1377.4016641452345,4
8402,2013-04-23,1578.78,1561.9450000000008,1422.9862000000007,2013,,,,,opened,1250.4196451101425,1392.7950075642964,4
8403,2013-04-24,1578.79,1562.8220000000008,1423.7733666666672,2013,,,,,opened,1250.4196451101425,1392.804462934947,4
8404,2013-04-25,1585.16,1563.8433333333344,1424.5513333333338,2013,,,,,opened,1250.4196451101425,1398.8275340393343,4
8405,2013-04-26,1582.24,1564.477000000001,1425.3238000000003,2013,,,,,opened,1250.4196451101425,1396.0665658093797,4
8406,2013-04-29,1593.61,1565.574000000001,1426.1584000000005,2013,,,,,opened,1250.4196451101425,1406.8173222390317,4
8407,2013-04-30,1597.57,1567.0896666666677,1426.9568333333339,2013,,,,,opened,1250.4196451101425,1410.5616490166415,4
8408,2013-05-01,1582.7,1568.235000000001,1427.6950666666673,2013,,,,,opened,1250.4196451101425,1396.501512859304,5
8409,2013-05-02,1597.59,1569.531000000001,1428.4796666666673,2013,,,,,opened,1250.4196451101425,1410.5805597579424,5
8410,2013-05-03,1614.42,1571.818333333334,1429.335533333334,2013,,,,,opened,1250.4196451101425,1426.4939485627835,5
8411,2013-05-06,1617.5,1573.8386666666675,1430.1823333333339,2013,,,,,opened,1250.4196451101425,1429.4062027231466,5
8412,2013-05-07,1625.96,1576.3143333333342,1431.049733333334,2013,,,,,opened,1250.4196451101425,1437.4054462934946,5
8413,2013-05-08,1632.69,1578.6116666666676,1431.9334000000006,2013,,,,,opened,1250.4196451101425,1443.768910741301,5
8414,2013-05-09,1626.67,1580.739000000001,1432.781733333334,2013,,,,,opened,1250.4196451101425,1438.0767776096823,5
8415,2013-05-10,1633.7,1582.889333333334,1433.675133333334,2013,,,,,opened,1250.4196451101425,1444.7239031770046,5
8416,2013-05-13,1633.77,1585.2760000000007,1434.540733333334,2013,,,,,opened,1250.4196451101425,1444.7900907715582,5
8417,2013-05-14,1650.34,1587.9456666666672,1435.4764333333342,2013,,,,,opened,1250.4196451101425,1460.4576399394855,5
8418,2013-05-15,1658.78,1591.4486666666671,1436.4579000000008,2013,,,,,opened,1250.4196451101425,1468.4379727685325,5
8419,2013-05-16,1650.47,1594.4650000000004,1437.4816000000008,2013,,,,,opened,1250.4196451101425,1460.5805597579424,5
8420,2013-05-17,1667.47,1598.2713333333338,1438.5310666666674,2013,,,,,opened,1250.4196451101425,1476.6546898638426,5
8421,2013-05-20,1666.29,1601.7120000000004,1439.532333333334,2013,,,,,opened,1250.4196451101425,1475.5389561270802,5
8422,2013-05-21,1669.16,1605.0636666666674,1440.5266333333338,2013,,,,,opened,1250.4196451101425,1478.252647503782,5
8423,2013-05-22,1655.35,1607.317666666667,1441.474166666667,2013,,,,,opened,1250.4196451101425,1465.1947806354008,5
